algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,success,features_used,avg_path_length,actual_depth,n_leaves,stability,dataset
ODT,9,target,0.8410180094666735,0.0039258781706988,0.8869860371214277,0.0037949053938858,131.37305459976196,0.0986803531646728,"[0.8387757191114751, 0.8416419285494933, 0.834971334971335, 0.8465397215397216, 0.8431613431613432]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",True,-1,9.0,9,512,0.0,Adult Income
RDT,9,target,0.8542238527344475,0.004293779471493,0.8985055121583999,0.0048450007059871,141.63911638259887,0.0985413551330566,"[0.8502405568635479, 0.8567918927218753, 0.8535012285012284, 0.8610769860769861, 0.8495085995085995]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",True,7,9.0,9,512,0.0,Adult Income
RDT-TwoPass,9,target,0.8534866283381997,0.0045693374520672,0.8907636276206838,0.0073691662764605,166.15178871154785,0.0592969417572021,"[0.8509571092230526, 0.8621148531067663, 0.8516584766584766, 0.8537059787059788, 0.848996723996724]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,7,9.0,9,512,0.0,Adult Income
sklearn-DT,9,target,0.8616764961017187,0.0026024094615983,0.906299905452076,0.0014636882565746,8.196401214599609,0.0011913776397705,"[0.8565871634763026, 0.8633432285802027, 0.8624078624078624, 0.8637387387387387, 0.8623054873054873]","{'ccp_alpha': 0.0, 'max_depth': 9, 'min_samples_leaf': 5, 'min_samples_split': 2}",True,14,9.0,9,197,0.0,Adult Income
OSDT,9,target,0.7607182362198229,3.815022657841085e-05,0.5,0.0,0.0435677051544189,0.0002875804901123,"[0.7606715119254785, 0.7606715119254785, 0.7607493857493858, 0.7607493857493858, 0.7607493857493858]","{'max_depth': 9, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,9.0,9,512,0.0,Adult Income
ConTree,9,target,0.8197250570907035,0.0191795652273449,0.8275183784145662,0.0193816898916366,299.9907841205597,0.0020795822143554,"[0.7961920360323472, 0.8320196540075749, 0.7965806715806716, 0.8388615888615889, 0.834971334971335]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Adult Income
ODT,5,onehot,0.826808994991511,0.0051651920687675,0.861449675867638,0.004741948680125,59.8976291179657,0.0386671543121337,"[0.8247517657897431, 0.8239328488074521, 0.8243243243243243, 0.823914823914824, 0.8371212121212122]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,5.0,5,32,0.0,Adult Income
RDT,5,onehot,0.8517873714081106,0.0033261652785229,0.8786513536584317,0.0022553340244032,76.47919564247131,0.0413339614868164,"[0.8498310983724024, 0.8549493295117208, 0.8547297297297297, 0.8531941031941032, 0.8462325962325963]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,5,5.0,5,32,0.0,Adult Income
RDT-TwoPass,5,onehot,0.8463821944577397,0.0027544322243415,0.8712442667641804,0.0095074426485092,91.00439043045044,0.0337676525115966,"[0.8442010441191524, 0.8494216398812571, 0.8483824733824734, 0.8477682227682227, 0.8421375921375921]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2}",True,4,5.0,5,32,0.0,Adult Income
sklearn-DT,5,onehot,0.8521968361870093,0.003076240064326,0.8830703840073975,0.0012794324368878,9.581233739852903,0.002301549911499,"[0.8507523799774798, 0.8557682464940116, 0.855036855036855, 0.8521703521703522, 0.8472563472563472]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",True,8,5.0,5,28,0.0,Adult Income
OSDT,5,onehot,0.7607182362198229,3.815022657841085e-05,0.5,0.0,0.0468916893005371,0.0016928672790527,"[0.7606715119254785, 0.7606715119254785, 0.7607493857493858, 0.7607493857493858, 0.7607493857493858]","{'max_depth': 5, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,5.0,5,32,0.0,Adult Income
ConTree,5,onehot,0.7672904264597376,0.0013136142236184,0.7899242347862152,0.0027590901144042,302.0944010734558,0.0019207000732421,"[0.7682464940116696, 0.7673252124065922, 0.769041769041769, 0.7665847665847666, 0.7652538902538902]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Adult Income
